brand|name_perfume|family|subfamily|fragrances|ingredients|origin|gender|years|description|image_name
Costume National|Costume National Homme|WOODY|AMBERY (ORIENTAL)|Woody Amber Fresher|['Bergamot', 'Cinnamon', 'Patchouli', 'Sandalwood', 'Ciste Labdanum', 'Cardamom', 'Clove', 'Grapefruit', 'Thyme']|Italy|Male|2009|The Costume National Homme man is seductive, mysterious… definitely unique! A sensuous and elegant fragrance for the man of today.|pygp72c79rii5xka4rowo3o9g5qvu3074lbi75v5ktry2yi1borbz11gtxms-w500-q85.jpg
Fiorucci|Monsieur|WOODY|CITRUS|Woods Fresher|['Woody Notes', 'Thyme']|Brazil|Male|2000|Fiorucci Monsieur is a strong and striking male fragrance for the mature man who knows what he wants. It|snzgu4pelj9rqugwh39fbyj6dhekwq598pzc55boek3zu7zhhr8s2cavpdnz-w500-q85.jpg
Michael Kors|Mystique Shimmer 2020|WOODY|AMBERY (ORIENTAL)|Woody Amber Classical|['Saffron', 'Musk', 'Black Pepper', 'Oud / Agarwood', 'Elemi', 'Incense / Olibanum', 'Bergamot', 'Praline']|United States of America|Female|2020|Michael Kors Mystique Shimmer is an extravagant scent that evokes the glamour of a lavish masquerade party. Intriguing and magnetic.|5an6mf0nw580gdfbrmxzrgfm4jm2u7i3lhnk36iq1akhneawqnxhg6re3tvl-w500-q85.jpg
Amouage|Epic 56 Woman|AMBERY (ORIENTAL)|FLORAL|Soft Amber Classical|['Rose Damascena', 'Guaiac Wood', 'Pink Pepper', 'Amber', 'Incense / Olibanum', 'Vanilla', 'Geranium', 'Iris / Orris', 'Oud / Agarwood', 'Cinnamon', 'Musk', 'Patchouli', 'Sandalwood']|Oman|Female|2021|A sublime union of extreme concentration and extended aging, this iconic creation becomes all the more extraordinary.|0pw40sbaamd97e76lp448u4up7k3mxihcbinvy77ghuqq6txwl3zvi6t7z5j-w500-q85.jpg
Floris|1927 Eau De Parfum|FLORAL|CITRUS|Floral Fresher Citrus|['Ylang-ylang', 'Bergamot', 'Amber', 'Mimosa', 'Narcissus', 'Violet', 'Mandarin', 'Aldehyde', 'Musk', 'Patchouli', 'Vanilla']|United Kingdom|Unisex|2018|1927 Eau de Parfum pays homage to the creatives, artists, playwrights and authors who went beyond the triviality of the jazz age and documented a moment in time. A sparkling fragrance bringing to mind the elegance, opulence and glamour of the twenties.|z9hx4iy0iebkmbifgwur4to7j6ex3ypvdcvxsg38b9h0b3x4jfyjvti60ox6-w500-q85.jpg
Natura|Uhu!|AROMATIC FOUGERE|FRUITY|Aromatic Fougère Fresher Fruity|['Lavender', 'Apple', 'Musk', 'Geranium', 'Amber', 'Bergamot', 'Cedarwood', 'Mandarin', 'Violet']|Brazil|Male|2010|Uhu is a vibrant, fresh, and yet calming scent.|z524ear6z9q5fcoa3nboo74rdpb6yghtms5qqz8uomk9nfdefyg0jynktnpg-w500-q85.jpg
Yves Saint Laurent|Cuir : Collection De Nuit|LEATHER|WOODY|Dry Woods Classical|['Leather', 'Saffron', 'Guaiac Wood', 'Osmanthus', 'Oud / Agarwood', 'Ginger', 'Rum', 'Tobacco Leaf']|France|Unisex|2016|An intense, sensual and carnal fragrance that dresses the skin. A matte, grainy leather that slips off the shoulder.|7rhtzwfysp8qino9p0s919ghryc7i4rvqieshoh03mrfs1sg9zgu12dfxal4-w500-q85.jpg
Nicole Miller|Nicole Miller (2010)|CHYPRE|FLORAL|Mossy Woods Fresher White Flower|['Oakmoss', 'Gardenia', 'Aldehyde', 'Patchouli', 'Orange Blossom', 'Ylang-ylang', 'Amber', 'Cedarwood', 'Violet Leaves']|Canada|Female|2010|Embodying the spirit of playful femininity and modern sophistication. Inspired by crisp fruits and florals contrasted with sensual warm woods.|khvh8bpclpdhrn9pac1hpo1wz7oaof7duf98swh9d1hsb8weop6dpkmwgav7-w500-q85.jpg
Keiko Mecheri|Lady Pointe|LEATHER|FLORAL|Dry Woods Fresher White Flower|['Orchid', 'Incense / Olibanum', 'Musk', 'Suede', 'Rose', 'Patchouli', 'Sandalwood', 'Tonka Bean', 'Blackcurrant Bud']|United States of America|Unisex|2006|"Ballets inspired this fragrance. Lady Pointe is a mood, a stage, a fantasy. The idea is a new take on clair-obscur: ""Cuir"" and nebulous flowers. The result is a fusion of fragility and femininity with the dark: its embodies the powerful allure of dance."|yo3sajnht2c87dwptl3l51hcgieaznt9ikh6i1ne12fasboe0z20i3m7piy6-w500-q85.jpg
Wow Beauty Forward|Tender Rose|FLORAL|FLORAL|Floral Classical Rose|['Rose', 'Raspberry', 'Vanilla']|United Arab Emirates|Female|2019|Pampering time with a soft rose vibe! Blended with love and floral notes of rose, raspberry and vanilla. Dab a few drops onto your wrists and neck. Play with fragrances and body mists to create your signature scent.|nsfo8c9lwggvuuuz28nmg6hx14flt8glgyw4smuqk76q8ba43vkitna70wlk-w500-q85.jpg
Diptyque|34 Boulevard Saint Germain : Eau Mage|AMBERY (ORIENTAL)|CITRUS|Soft Amber Fresher Citrus|['Ambroxan (Ambergris)', 'Cashmeran (Woody musky)', 'Mandarin', 'Musk']|France|Unisex|2015|A free inspiration by one single ingredient, ambroxan. Neither masculine nor feminine, Eau Mage is an eau de peau slightly woody and musky, with a spicy hint.|uv8z76hhblelno6il54tc2c2icm6f5ul6sftum4dvgma4oqjzwxg8bs0cthq-w500-q85.jpg
Xerjoff|Comandante!|FLORAL|ALDEHYDIC|Soft Floral Classical|['Floral Notes', 'Tobacco Leaf']|Italy|Unisex|2013|Comandante! by Xerjoff Join the Club is a perfume as intense as deep thoughts, lucid vision, where variable complexity reassembles itself into a square and linear design. Comandante! is a moment of perfumed introspection, a fragrance for those who are always in control.|eftwos8ek6drpp9sz1o9noefgd97chkigh9y2vxeyg2np6pd3c8owwhwva4g-w500-q85.jpg
Ungaro|Ungaro (1990)|WOODY|AMBERY (ORIENTAL)|Woody Amber Richer|['Sandalwood', 'Vanilla', 'Iris / Orris', 'Tonka Bean', 'Cardamom', 'Jasmine', 'Neroli', 'Orange Blossom', 'Rose (Turkey)']|France|Female|1990|A new and modern vision injecting a breath of fresh air. With her unique manner of living … She is dark and totally feminine… Chic yet utterly shameless… Mysterious and radiant…. She could be a dazzling moviestar or a glamourous mistress, she is pure seduction.|ybwnceva4uda059kmijkjsaxbuxtyd95mwxdi9sq3w9g9epeh3fmwntthwxx-w500-q85.jpg
Ulric De Varens|Varens In The Sky|FLORAL|FLORAL|Floral Crisp White Flower|['Night Blooming Jasmine', 'Bergamot', 'Musk', 'Gardenia', 'Orange Blossom', 'Rose', 'Pineapple', 'Patchouli', 'Tonka Bean', 'Vanilla', 'Salty Caramel']|France|Female|2018|A citrus wind refreshes the night, a heavenly thrust spangled with berries, melds into a swirl of white flowers. Silently, jasmine hatches, and its olfactory aura reaches the heavens. A musky cloud engulfed the patchouli’s dark aftermath and the caramel sweetness, night has come.|4p9vxqo8vvsa9jod6ibmnpz384lssr2nelnqjegmpvaxjutx2iiwrowl6vkv-w500-q85.jpg
Akro|Malt|LEATHER|WOODY|Dry Woods Classical|['Rum', 'Leather', 'Patchouli']|France|Unisex|2018|Malt is the perfect synthesis of a delicate liquor and a drunkenness that leaves its trace on the skin.|izg3bwsrkrlbnmig5855zeoljpixqfjvepp3coygfimo145vxl4oot8qgs6h-w500-q85.jpg
Via Paris|Miss Laloa|FLORAL|FRUITY|Floral Fresher Fruity|['Plum', 'Patchouli', 'Tangerine', 'Violet', 'Peach', 'Strawberry', 'Amber', 'Bergamot', 'Musk']|Brazil|Female|2012|Miss Laloa is a feminine floral scent with fresh, sweet notes, creating a unique, seductive, and jovial scent. Miss Laloa is ideal for a woman with a strong personality adding even more seduction and glamour to her day!|ytvs31kd2ujl72d899bsypkr0giozdh8m7hjl1ctazzeonh99f12d99fkjj2-w500-q85.jpg
Shay & Blue|Almond Cucumber|FLORAL|WATERY|Floral Fresher Water|['Heliotrope', 'Mimosa (Grasse)']|United Kingdom|Unisex|2012|A watery nymph. An unusual and inventive combination. Here, cucumber is used to express a watery, elegant refinement, a dreamy nostalgia tempered and balanced by the powdery nuttiness and crunch of chopped almond.|nrfsbgzherae02rfxhz6albuhq5241c57pa36elap095j85d5gjho3irpeif-w500-q85.jpg
Natura|Humor Transforma|WOODY|WATERY|Woods Crisp Water|['Woody Notes', 'Fruity Notes']|Brazil|Unisex|2023|The combination of fruity notes with spices and the fluidity of aquatic notes, added to woody notes, reveals an incredible contrast between the explosion of priprioca and the comfort of camuru. The perfume was co-created by more than 80 young people, which gives it a modern and cool touch.|o369qduwvur2whzl0rdsotghda6yrye6n83xiywp28mrl5otnmmoc47ofmm5-w500-q85.jpg
Police|Police To Be Bad Guy|AROMATIC FOUGERE|AROMATIC FOUGERE|Aromatic Fougère Fresher Aromatic|['Lavender', 'Heliotrope', 'Patchouli', 'Bergamot', 'Caramel', 'Cardamom', 'Carnation', 'Musk', 'Tonka Bean', 'Vanilla', 'Violet']|Italy|Male|2020|Be careful with this young man! Extremely seducing with a total black look, you could get burned. He cannot be intimidated or misguided. He lives his own life, and his fragrance is totally addictive, full of contrasts.|xkea1e4ai6d2r0kdzsonm9itfam765xeruon0skjjtyqdut9u9ikgcn3zxid-w500-q85.jpg
Fragonard|Beau Gosse|AROMATIC FOUGERE|WATERY|Water Fresher|['Rosemary', 'Marine', 'Patchouli', 'Bergamot', 'Cardamom', 'Cedarwood', 'Musk', 'Nutmeg']|France|Male|2004|For all men with no fear of compliments! Beau Gosse is a harmonious accord of citrus fruits, aquatic flowers and fruits, spiced up on a background of woody and musky notes. A refreshing fragrance.|4k7rvk7epe4ckzh2jds1ofz56tv4aaloku1rrqwv6jvtr9tl54u661k1n5yu-w500-q85.jpg
Nobile 1942|Patchouli Nobile|WOODY|WOODY|Woods Rich|['Patchouli', 'Cedarwood', 'Incense / Olibanum', 'Jasmine', 'Sandalwood', 'Cedarwood (Atlas)', 'Guaiac Wood', 'Amber', 'Oakmoss', 'Tonka Bean', 'Ciste Labdanum', 'Citruses']|Italy|Unisex|2009|Patchouli Nobile is an elixir of youthful spirit. The evocative magic of Patchouli Nobile enfolds the soul and brings out the yearning for freedom and the courage to dare to go beyond.|kboowkwea4khu3wipmbddqhe045wblpkp4ja73rv5gdi4du7kkzjjbt45emf-w500-q85.jpg
Vicky Tiel|Ulysse|WOODY|AMBERY (ORIENTAL)|Woody Amber Fresher|['Cardamom', 'Lavender', 'Neroli', 'Benzoin', 'Vanilla', 'Bergamot', 'Mandarin', 'Musk', 'Nutmeg', 'Patchouli', 'Yuzu']|United States of America|Male|1998|Ulysse was created for a man's most passionate moments. For men who display strength of character and fortitude. It captures the intensity and spirit inspired by the ancient Gods of mythology.|ving2yayg8f3tmjrwz94mhm9svangut09ff204ev3i2lkmdc7xdct8s3hmx8-w500-q85.jpg
Bond No. 9 I Love Ny|Http://Www.Bondno9.Com|CHYPRE|FRUITY|Mossy Woods Fresher Fruity|['Patchouli', 'Apple', 'Pineapple', 'Blackcurrant Bud', 'Amber', 'Bergamot', 'Cedarwood', 'Juniper Berries', 'Musk']|United States of America|Unisex|2013|While our latest neighbourhood may be virtual, the scent (unisex of course) is entirely real. But like the Internet, it's beckoning and outgoing. Also, like the internet, it has a contemporary, mesmerising appeal that evokes undivided attention.|k3g514izfvp3gkl0h2h8wphd4iqyoo67aofwy5p04dusnmxlgm9dae3xxoc5-w500-q85.jpg
Stéphane Humbert Lucas|Harrods Ruby Naga|FLORAL|AMBERY (ORIENTAL)|Floral Amber Crisp Gourmand|['Orange Blossom (Morocco)', 'Vanilla', 'Iris / Orris', 'Rose (Bulgaria)', 'Jasmine (Sambac)', 'Amber', 'Lychee', 'Peach', 'Raspberry', 'Tonka Bean', 'Mandarin (green)', 'Musk', 'Violet Leaves', 'Woody Notes']|France|Unisex|2022|Made in collaboration with Harrods, Ruby Naga is a tribute to the luxury and sophistication of the Knightsbridge store. The scent is inspired by the divine serpent creatures known for their incredible strength and outstanding beauty. They reside in magnificent jeweled palaces and serve as protectors and guardians of treasure.|hxj6hb9tqzx9hh6o91bor9blah2itkqg0d3dgv5ggejoep1teicgmcxpupia-w500-q85.jpg
Chris Adams|Active Man|AROMATIC FOUGERE|AROMATIC FOUGERE|Aromatic Fougère Classical|['Lavender', 'Bergamot', 'Cedarwood', 'Jasmine', 'Patchouli', 'Rose', 'Violet', 'Amber', 'Lime', 'Musk', 'Sandalwood']|United Kingdom|Male|2016|This cool, refreshing, and tangy perfume is for the charismatic, who make a splash wherever they go.|hn7rjatvlqp2aia4f3oc7xj0yht0l6g9ttnpne4dny4taq7bbuga4rov16it-w500-q85.jpg
Calvin Klein|Eternity For Men Eau De Parfum|AROMATIC FOUGERE|AROMATIC FOUGERE|Aromatic Fougère Classical|['Clary Sage', 'Suede', 'Lavender', 'Cypriol / Nagarmota', 'Ambergris', 'Geranium', 'Apple', 'Iris / Orris', 'Nutmeg', 'Ozonic Notes', 'Vetiver']|United States of America|Male|2019|Rugged yet refined. Masculine yet sensual. Eternity for Men Eau de Partfum is the essence of the modern man.|445qrxb30vu1zteb2r8hzqayyw0dqypf971ylieffrbb778j71xmcxjlcwcu-w500-q85.jpg
Nasomatto|Blamage|LEATHER|LEATHER|Dry Woods Richer|['Ciste Labdanum', 'Leather', 'Suede']|Netherlands|Unisex|2014|Blamage is an unwise and unfortunate creation caused by bad judgement and care. This fragrance captures unmet expectations and the acceptance of failure. This is a scent that reveals the beauty of making mistakes, and the acknowledgement of moving on. You are what you are. This is the quest towards recognising your instincts, your values your decisions and actions.|7kfh6o3ogqm8k31uzcazduq3zecilnbl7r81ig41pfh7k96by6detgaowi32-w500-q85.jpg
Animale|Animale Sexy|FLORAL|AMBERY (ORIENTAL)|Floral Amber Fresher Fruity|['Orange Blossom', 'Vanilla', 'Jasmine', 'Orchid', 'Bergamot']|United States of America|Female|2021|A fragrance that reveals the femininity of a woman who knows how to be provocative and seductive.|b5dd5r3oiuggq1dvnli8ndizfwqzpdmrb5zf9fh2zn9ykdeaz51yxip587cn-w500-q85.jpg
Jil Sander|Sun Men Eau De Toilette|WOODY|AMBERY (ORIENTAL)|Woody Amber Fresher|['Amber', 'Bergamot', 'Nutmeg', 'Cedarwood', 'Cardamom', 'Calone (Marine)', 'Musk', 'Rosemary']|Germany|Male|2002|Jil Sander Sun Men is summer inside you, evoking the sun-soaked sensations of summer all year long.|gp2tjdphl1g7flipzxl5txqfrk7qzuvyuc26iacralw6x6tr9hrjbqvkzczv-w500-q85.jpg
Bulgari|Baciami|FLORAL|AMBERY (ORIENTAL)|Floral Amber Fresher White Flower|['Gardenia', 'Amber', 'Vanilla']|Italy|Female|2022|An exhilarating scent that symbolises eternal Italian love.|psm9h0vwa5qw7lk67kunyp6nega4dcpgtvqpqt1j9wem07uej0qbze1buhkl-w500-q85.jpg
Nishane|Tuberóza X|FLORAL|FLORAL|Floral Richer Tuberose|['Tuberose', 'Ylang-ylang', 'Musk', 'Violet', 'Amber', 'Mandarin', 'Sandalwood']|Türkiye|Unisex|2024|This scent pays homage to the captivating scent of tuberose blossoms swaying under a starry sky. Built around an exquisite Indian tuberose, Tuberóza X is more vegetal than its older version.|r1vf0uqfh0e08qwxr7xfppdbto8c2xqg5bgandcnta0f7xbxfbt7ubukekcq-w500-q85.jpg
Blend Oud|Sultan|LEATHER|WOODY|Dry Woods Classical|['Leather', 'Mate', 'Tonka Bean', 'Amber', 'Juniper Berries']|Italy|Unisex|2017|Sultan is the olfactory illustration of private royal apartments: those of a young Sultan, a man of power, dynamic and charismatic, who loves and enjoys life. The fragrance evokes a palace's interiors decorated with timeless style, where every detail – from the fabrics to the ornaments – speaks of sumptuous refinement.|1w8s4ci0v8w0x0dx3hq0imlcbx7os0tzmclrm1h7wiq8id2u6egxyfdr8f44-w500-q85.jpg
Puma|Animagical Man|CITRUS|GREEN|Green Fresher|['Rosemary', 'Mandarin', 'Cardamom', 'Musk', 'Pineapple']|Germany|Male|2010|Seductive, strong and playful PUMA ANIMAGICAL for him is an invitation to play the game. It is the magical seduction tool that will give all young men the confidence to seek out their girl.|r1cc6euruhdblwx2gq0ynbofmpz2isf80i8auxl800qwws94jzhuglsc401n-w500-q85.jpg
Clean|Clean Air|FLORAL|ALDEHYDIC|Soft Floral Fresher Green|['Green Notes', 'Aldehyde', 'Freesia', 'Peony', 'Ozonic Notes', 'Amber', 'Musk', 'Cashmere Wood']|United States of America|Unisex|2015|Spirited, buoyant and blissful, Clean Air evokes the expansive airiness of a hot air balloon ride over the Himalayas. The unique mountain air accord leads to a heart of sheer floral notes unveiling the fragrance's luminous grace and ethereal femininity.|eyqzje9r5m7iss6iaiiktq3z58fh6sp5s2r8gd1vlmngjxuo7aj8ry8p4m0g-w500-q85.jpg
The Merchant Of Venice|Arancia Brasile|CITRUS|GREEN|Citrus Crisp|['Bergamot']|Italy|Unisex|2022|Arancia Brasile is a fragrance that smells of summer: citrus fruits accompanied by the addictive sweetness of Brazilian oranges.|kl7hldd8ss2iynfatwj8w1uu2lu4yawadtqj96w41kt6dwib2ccfkqx5hch3-w500-q85.jpg
Trussardi|Trussardi Ruby Red|CHYPRE|FRUITY|Mossy Woods Fresher Fruity|['Patchouli', 'Ylang-ylang', 'Bergamot', 'Cinnamon', 'Ginger', 'Sandalwood', 'Vanilla', 'Orcanox (Ambergris)']|Italy|Female|2023|Ruby Red is the fragrance of new passions.|73qk8rk6p4vbg8b7z4ef846pnmaml8bzl1qkg5af3tbbjus2r0v9xhss1b9j-w500-q85.jpg
Hugo Boss|Boss The Scent For Her Le Parfum|FLORAL|AMBERY (ORIENTAL)|Floral Amber Fresher Citrus|['Orange Blossom', 'Vetiver', 'Osmanthus', 'Amber', 'Vanilla', 'Cocoa', 'Mandarin', 'Clary Sage']|Germany|Female|2022|An intense fragrance to ignite your senses, unleashing an alchemy of attraction impossible to resist.|766wmj73gws6z7u64s6e2gaqkjx8ik4d1dwon4odiauw3b12jbum0i7zksbr-w500-q85.jpg
L'Occitane|Cassissier / Blackcurrant|FLORAL|CITRUS|Floral Fresher Green|['Blackcurrant Bud', 'Freesia', 'Hyacinth', 'Iris / Orris', 'Jasmine', 'Lily Of The Valley', 'Violet', 'Bergamot', 'Mandarin', 'Amber', 'Apple', 'Melon', 'Pineapple', 'Sandalwood', 'Vetiver']|France|Female|1999|A floral, fresh green scent to liven your day.|k2op2t1yucfuc09p6efegukegl6pz7rglscs12bbvkfd4dyxdpyp2bcuew2b-w500-q85.jpg
Banderas|Diavolo|WOODY|GREEN|Woods Fresher|['Leather', 'Violet Leaves', 'Patchouli', 'Geranium', 'Bergamot', 'Mandarin', 'Sandalwood', 'Cinnamon']|Spain|Male|1997|It is the most intense aspect of your seductive side. Attractive, nocturnal, mysterious, Diavolo will seduce you.|ydo2s96sfwmbedmmaj8bk3fm3kuzmmiq42ioow6k6ohkrsi6pvgfilpw35pa-w500-q85.jpg
Comporta|Palafítico|WOODY|CITRUS|Woods Fresher Citrus|['Sandalwood', 'Iris / Orris', 'Bergamot', 'Grapefruit', 'Lemon', 'Amber', 'Jasmine', 'Musk', 'Orange Blossom']|Portugal|Unisex|2017|A bold, grassy, salty woody scent from a unique environment of fishermen's houses at Cais Palafítico da Carrasqueira.|lxxsvycohvh3n63hqn9wh4y61w3g4bvpfooci92xlzaljfrec3lbndbao4wy-w500-q85.jpg
Mancera|Gold Prestigium|WOODY|AMBERY (ORIENTAL)|Woody Amber Classical|['Woody Notes', 'Bergamot', 'Leather', 'Oud / Agarwood', 'Jasmine', 'Orange Blossom', 'Patchouli', 'Vanilla', 'Rose (Bulgaria)', 'Oakmoss', 'Saffron', 'Spicy Notes', 'Black Pepper']|France|Male|2016|This fragrance has a citrusy opening, elegant heart and refined dry down.|yqwlmjl0gr23kr1fsp5zbgby9xqi6vnic6b54gub9ejkfc504zwkalor2y7o-w500-q85.jpg
Ferrari|Scuderia Ferrari Racing Red|AROMATIC FOUGERE|CITRUS|Aromatic Fougère Fresher Citrus|['Lavender', 'Cedarwood', 'Artemisia', 'Clary Sage', 'Leather', 'Tonka Bean', 'Black Pepper']|Italy|Male|2012|Energising and brilliant Racing Red is a multifaceted rocket. While the top blends a fizzy accord, the heart reveals a precious and shining heart. The drydown plunges the Ferrari driver into a sensual woody, leather trail, just like the rich and comfortable Ferrari interior.|icl8tet5dtq19y2n2h5apdr1kg16ri3fq3o2z0vwjcu22718opertuflnbiq-w500-q85.jpg
Avon|Only Imagine Charmer|FLORAL|MUSK SKIN|Soft Floral Fresher Fruity|['Iris / Orris', 'Rose (Bulgaria)', 'Passion Fruit', 'Musk', 'Mandarin', 'Mango', 'Woody Notes']|United States of America|Female|2014|An enchantingly luminous fragrance, truly delightful!|09s9hxsf9063wzpxibzrg93psx67mv3okaxbafmau471ylysigfsio41puuy-w500-q85.jpg
Mary Kay|Garden Scent|FLORAL|FRUITY|Floral Fresher Fruity|['Orange Blossom', 'Apple', 'Patchouli (Indonesia)']|United States of America|Female|2023|Mary Kay Garden Scent™ Deo Parfum is a fragrance that combines nature and innovation for a finely crafted finish.|v18y7vy1jobmurizgsw9exuhclmwfn4tumlkt60c49b1x0ublni2rlki6y3b-w500-q85.jpg
Rabanne|Lady Million Empire|CHYPRE|AMBERY (ORIENTAL)|Mossy Woods Classical|['Patchouli', 'Vanilla', 'Magnolia', 'Mirabelle (Plum)', 'Musk', 'Orange Blossom', 'Osmanthus']|Spain|Female|2019|How to build an empire Million style? Risk it all. Never stop. Desire your destiny. Right now. Criticism? Ignore it. Diamonds? Let's have more. Brilliant. Deliciously insolent. Intoxicating like success.|tdwpfkkilaoxeouh7kxwez8tkttyvsfdg8u5yaxsiveirjh2ev52ok2qbxij-w500-q85.png
Pacifica|French Lilac|FLORAL|MUSK SKIN|Soft Floral Fresher Fruity|['Heliotrope', 'Hyacinth', 'Ylang-ylang']|United States of America|Unisex|2016|French Lilac is a fresh fragrance in the traditional French style. The creation brings spring to life with a wonderful mixture of florals. A seductive and romantic composition.|q87cjqc62uz85nyro44pl9t4ckkappfqk6v0b8dogprbz9ber7btlqrbji4b-w500-q85.jpg
Avon|Secret Fantasy Midnight / Secrets To Keep Midnight|WOODY|AMBERY (ORIENTAL)|Woody Amber Fresher Gourmand|['Woody Notes', 'Cherry (black)', 'Amber', 'Freesia', 'Musk', 'Plum', 'Rose (Bulgaria)']|United States of America|Female|2014|The fantasy begins at midnight when moonlight shines at its brightest and that certain someone special awaits. Secret Fantasy Moonlight is a sensual, mysterious, yet sublimely flirtatious creation, it's as if it was made of moonlight itself. Lighting the way to your secret meeting.|lpae9ro7r0fbtr834pwfdtqrevc3465o7k9qcyjacpp45cyn2srjqs1d8llm-w500-q85.jpg
Versace|Crystal Noir Eau De Toilette|FLORAL|AMBERY (ORIENTAL)|Floral Amber Fresher White Flower|['Tuberose', 'Vanilla', 'Fig', 'Jasmine', 'Heliotropine (Heliotrope)', 'Cashmeran (Woody musky)', 'Sandalwood', 'Blackcurrant Bud']|Italy|Female|2018|A light luscious scent, reminiscent of a walk through a floral garden with that leaves a warm gourmand veil on the skin.|di7ssig1oieoofr9u0cru8t1svthsbjl6kkb347ip1bs4w833u4e7tujuemk-w500-q85.jpg
Acqua Di Parma|Acqua Di Parma Colonia Futura|AROMATIC FOUGERE|AROMATIC FOUGERE|Aromatic Fougère Fresher Aromatic|['Clary Sage', 'Bergamot', 'Woody Notes', 'Lavender', 'Grapefruit', 'Lemon', 'Pink Pepper', 'Vetiver']|Italy|Male|2020|With Acqua di Parma Colonia Futura, is a declaration of love for nature: a vibrant explosion of natural ingredients, wonderfully combined, but at the same time, individually bursting out. It is transparent in it s essence and vibrating with life. The message from this fragrance is of hope and positivity. Embrace the future with a gift of nature.|udchv9dn37g2oihhvse25qymticnbyiq9jnclfu9n5kna0iz8lf6swsry8nn-w500-q85.jpg
Bella Vita|Rosè|FLORAL|FRUITY|Floral Crisp Fruity|['Floral Notes', 'Fruity Notes', 'Woody Notes']|India|Female|2022|Get a refreshing and uplifting burst of rosy fragrance with this luxurious, a bouquet of floral notes and good vibes that make it perfect for every occasion.|3sdv4h1vhv7arfzjdhr94or99yvmyhn7ri0fe19p7gf9wnm5yowhrmcg7ge7-w500-q85.jpg
Berdoues|Rose & Litchi|FLORAL|FRUITY|Floral Crisp Fruity|['Lychee', 'Rose', 'Mandarin', 'Orange Blossom', 'Cedarwood', 'Musk', 'Sandalwood']||Unisex|2023|An ode to the rose in full bloom, revealing all its sweetness and femininity.|3vfdsj3cgkc056ttuc86pdqzjtzqxu4udz9etc9k2smk6o0rwb0lbz1g0vgk-w500-q85.jpg
Fragancias Cannon|Colbert Noir|WOODY|AMBERY (ORIENTAL)|Woody Amber Crisp|['Spicy Notes', 'Patchouli', 'Sandalwood', 'Amber']|Argentina|Male|2012|Passionate. Sensuous, Intriguing.|p6q5l9bt81favkni294cph5z3ez520vzxh6h5v8kq9741mot24pgjbsv3ir6-w500-q85.jpg
Moschino|Moschino|AMBERY (ORIENTAL)|AMBERY (ORIENTAL)|Amber Classical|['Amber', 'Vanilla', 'Nutmeg', 'Carnation', 'Gardenia', 'Pepper', 'Rose', 'Ylang-ylang', 'Freesia', 'Galbanum', 'Honeysuckle', 'Musk', 'Patchouli', 'Plum', 'Sandalwood']|Italy|Female|1987|Like the designer himself, this fragrance is extravagant and daring. For the confident woman that's not afraid to embrace life and make her own choices!|1d4jrnykl1i3cvw1c1rgmo108bs37c9i3cjjwxgc4f0ebyrusd9vb7o8q8hd-w500-q85.jpg
Disney|La Reine Des Neiges Ii / Frozen Ii|FLORAL|MUSK SKIN|Soft Floral Fresher White Flower|['Floral Notes', 'Musk', 'Green Apple', 'Orange Blossom', 'Amber', 'Coriander', 'Geranium', 'Grapefruit', 'Mandarin', 'Ozonic Notes', 'Peach', 'Raspberry', 'Sandalwood', 'Vanilla', 'Blackcurrant Bud']|United States of America|Female|2019|Elsa and Anna, the inseparable sisters, return to the charge with Frozen II, a blend of citrus notes, white flowers, and fresh touches.|kn1mcdll94jyvothtx6bgdoo15l6qi4dzx4sw10ia5j838c8dh51c3du8elz-w500-q85.jpg
Trussardi|Alba Sui Navigli|CITRUS|CITRUS|Citrus Classical|['Bitter Orange', 'Juniper Berries', 'Vetiver', 'Lime', 'Petitgrain', 'Ambroxan (Ambergris)', 'Musk', 'Rum']|Italy|Unisex|2022|This unique scent faithfully reproduces the aromas that can be noticed from the balcony of a house overlooking the Navigli canals in Milan, on a spring morning, when the crisp air mixes the memory of an exciting evening with a desire for a wonderful summer.|wt1j3n1h9fe1tw80p06qn7mdz6ted1lyexlcu8y2agljoc5svr9oag93vsdl-w500-q85.jpg
Juliette Has A Gun|Not A Perfume Superdose|WOODY|WOODY|Woods Classical|['Cetalox (Ambergris)']|France|Unisex|2019|An intense version of NOT a Perfume: Not a perfume Superdose! An explosive name for an explosive fragrance.|08u44yqxmv2gmsqbmqlean2v695lkh16x9a4qsu0qmailkbij3qx2v2i3onv-w500-q85.jpg
Courrèges|2050 Berrie Flash|WOODY|GREEN|Woods Fresher Green|['Fig', 'Juniper Berries', 'Vetiver', 'Cardamom', 'Geranium', 'Mandarin', 'Musk']|France|Unisex|2020|Imagine 2050, intensely vegetal. A powerful and mutinous cologne.|2r4yys9fvwkzc5rbgh2ftecguynhfhkine1v8ii4ajd0j4m4b24tgmcju1fp-w500-q85.jpg
